title,author,rating,ratingnum,cuisine,INFOCARDv1,INFOCARDv2,numberofsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,source,link,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21
Orange Creamsicle Cookies,By Kim - InsanelyGood,5.0, 2 ,Cuisine: American,Servings28servingsPrep time10minutesCooking time10minutesCalories185kcal,"Servings

28

servings
Prep time

10

minutes
Cooking time

10

minutes
Calories

185

kcal",9,14,2 1/2 cups all-purpose flour,1 teaspoon baking soda,1/2 teaspoon baking powder,1/2 teaspoon salt,"1 cup unsalted butter, softened (2 sticks)",1 cup granulated sugar,"1/2 cup brown sugar, packed",1 large egg,1 large egg yolk (for extra chewiness),1 tablespoon orange zest (about 1 large orange),2 tablespoons fresh orange juice,1 1/2 teaspoon vanilla extract,Insanely Good Recipes,https://insanelygoodrecipes.com/orange-creamsicle-cookies/,"1/2 teaspoon orange extract (optional, for an extra burst of orange flavor)",1 1/2 cups white chocolate chips,NA,NA,NA,NA,NA,NA,NA
Graham Cracker Cookies with Frosting,By Claire Wells,5.0, 3 ,Cuisine: American,Servings16servingsPrep time30minutesCooking time12minutesCalories306kcal,"Servings

16

servings
Prep time

30

minutes
Cooking time

12

minutes
Calories

306

kcal",9,18,1 3/4 cups all-purpose flour,"2 cups graham cracker crumbs, divided (about 18 full sheets)",1 teaspoon cornstarch,"1 teaspoon ground cinnamon, optional",1/2 teaspoon baking soda,1/2 teaspoon baking powder,1/2 teaspoon salt,"3/4 cup unsalted butter, melted and cooled",3/4 cup granulated sugar,"1/2 cup light brown sugar, packed",1 large egg yolk,2 teaspoons vanilla extract,Insanely Good Recipes,https://insanelygoodrecipes.com/graham-cracker-cookies/,"1/2 cup unsalted butter, softened",1 cup powdered sugar,1 teaspoon vanilla extract,pinch salt,7 ounces marshmallow fluff,"optional: crushed graham crackers, for garnish",NA,NA,NA
Salted Caramel Chocolate Chip Cookies,By Kim - InsanelyGood,4.8, 4 ,Cuisine: American,Servings20servingsPrep time20minutesCooking time12minutesCalories223kcal,"Servings

20

servings
Prep time

20

minutes
Cooking time

12

minutes
Calories

223

kcal",9,12,2 cups (240) all-purpose flour,2 teaspoons cornstarch,1 teaspoon baking soda,1/2 teaspoon salt,"3/4 cup unsalted butter, melted","3/4 cup light brown sugar, packed",1/2 cup granulated sugar,"2 large egg yolks, room temperature",2 teaspoons vanilla extract,"1 1/2 cups semi-sweet chocolate chips, divided","10-20 soft caramels, cut in half (see notes)","flaky sea salt, for sprinkling",Insanely Good Recipes,https://insanelygoodrecipes.com/salted-caramel-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raspberry Thumbprint Cookies,By Kim - InsanelyGood,4.6, 9 ,Cuisine: American,Servings25-30servingsPrep time15minutesCooking time14minutesCalories120kcal,"Servings

25-30

servings
Prep time

15

minutes
Cooking time

14

minutes
Calories

120

kcal",8,9,"1 cup unsalted butter, softened","3/4 cup granulated sugar, plus more for rolling",1 large egg yolk,1 teaspoon vanilla extract,"1/4-1/2 teaspoon almond extract, to taste","zest of 1 lemon, optional",2 1/2 cups all-purpose flour,1/2 teaspoon salt,1/2 cup raspberry jam,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/raspberry-thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Crescent Cookies,By Haley van der Ploeg,4.7, 6 ,Cuisine: Austrian,Servings30servingsPrep time15minutesCooking time14minutesCalories134kcal,"Servings

30

servings
Prep time

15

minutes
Cooking time

14

minutes
Calories

134

kcal",8,9,"1 cup unsalted butter, softened","2 2/3 cups powdered sugar, divided",1 egg yolk,1/2 teaspoon vanilla extract,1/4 teaspoon almond extract,1/4 teaspoon salt,2-3 cups all-purpose flour,1 cup almond flour,"1/2 cup finely chopped almonds, optional",NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/almond-crescent-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rocky Road Cookies,By Haley van der Ploeg,4.6, 11 ,Cuisine: American,Servings16servingsPrep time20minutesCooking time9minutesCalories315kcal,"Servings

16

servings
Prep time

20

minutes
Cooking time

9

minutes
Calories

315

kcal",9,14,"1 cup unsalted butter, cold",3/4 cup granulated sugar,"3/4 cup light brown sugar, packed","1/2 teaspoon instant coffee, optional",1 large egg + 2 egg yolks,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1/2 cup unsweetened cocoa powder,1 tablespoon cornstarch,1 teaspoon baking soda,1/2 teaspoon salt,1 1/2 cups semi-sweet chocolate chips,Insanely Good Recipes,https://insanelygoodrecipes.com/rocky-road-cookies/,1 cup mini marshmallows,3/4 cup chopped walnuts or almonds,NA,NA,NA,NA,NA,NA,NA
Black and White Cookies,By NaTaya Hastings,5.0, 3 ,Cuisine: American,Servings12servingsPrep time30minutesCooking time15minutesCalories366kcal,"Servings

12

servings
Prep time

30

minutes
Cooking time

15

minutes
Calories

366

kcal",11,16,2 cups all-purpose flour,1/2 teaspoon baking powder,1/2 teaspoon baking soda,1/2 teaspoon salt,"2/3 cup unsalted butter, softened",1 cup granulated sugar,1 large egg + 1 egg yolk,2 teaspoons vanilla extract,1/4 teaspoon almond extract,1/2 cup sour cream,5 cups powdered sugar,"1/3 cup whole milk, divided",Insanely Good Recipes,https://insanelygoodrecipes.com/black-and-white-cookies/,2 tablespoons light corn syrup,1 teaspoon vanilla extract,1/2 teaspoon salt,3 tablespoons unsweetened cocoa powder,NA,NA,NA,NA,NA
Gingersnap Cookies,By Claire Wells,5.0, 1 ,Cuisine: American,Servings24servingsPrep time15minutesCooking time12minutesCalories135kcal,"Servings

24

servings
Prep time

15

minutes
Cooking time

12

minutes
Calories

135

kcal",8,13,2 cups all-purpose flour,2 teaspoons ground ginger,1 teaspoon ground cinnamon,1 1/2 teaspoon baking soda,1/2 teaspoon salt,1/2 teaspoon ground cloves,1/4 teaspoon ground nutmeg,"3/4 cup unsalted butter, softened","1 cup granulated sugar, divided","1/2 cup light brown sugar, packed",1/4 cup unsulphured molasses,1 large egg,Insanely Good Recipes,https://insanelygoodrecipes.com/gingersnap-cookies/,1 teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA
Jello Cookies,By Kim - InsanelyGood,4.6, 20 ,Cuisine: American,Servings36servingsPrep time20minutesCooking time12minutesCalories128kcal,"Servings

36

servings
Prep time

20

minutes
Cooking time

12

minutes
Calories

128

kcal",7,9,"1 cup unsalted butter, softened","1 1/2 cups granulated sugar, divided",1 large egg + 1 egg yolk,1 teaspoon vanilla extract,3 cups all-purpose flour,1/2 teaspoon baking powder,1/2 teaspoon baking soda,1/4 teaspoon cream of tartar,"4 (3 ounce) packets jello, different flavors",NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/jello-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thumbprint Cookies,By NaTaya Hastings,4.5, 43 ,Cuisine: American,Servings35-40servingsPrep time20minutesCooking time12minutesCalories105kcal,"Servings

35-40

servings
Prep time

20

minutes
Cooking time

12

minutes
Calories

105

kcal",7,9,2 1/4 cups all-purpose flour,2 teaspoons cornstarch,1/2 teaspoon salt,"1 cup unsalted butter, room temperature","1/2 cup light brown sugar, packed","1/2 cup granulated sugar, divided",1 large egg yolk,2 teaspoons vanilla extract,1/2 cup jam,NA,NA,NA,Insanely Good Recipes,https://insanelygoodrecipes.com/thumbprint-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frosted Eggnog Cookies,By Claire Wells,4.8, 4 ,Cuisine: American,Servings36servingsPrep time25minutesCooking time12minutesCalories111kcal,"Servings

36

servings
Prep time

25

minutes
Cooking time

12

minutes
Calories

111

kcal",7,17,2 1/2 cups (300g) all-purpose flour,2 teaspoons baking powder,1/2 teaspoon salt,1/2 teaspoon ground nutmeg,1/2 teaspoon ground cinnamon,"3/4 cup unsalted butter, softened",1/2 cup granulated sugar,1/2 cup packed light brown sugar,2 large egg yolks,1 teaspoon pure vanilla extract,1/2 teaspoon rum extract,1/2 cup full-fat eggnog,Insanely Good Recipes,https://insanelygoodrecipes.com/frosted-eggnog-cookies/,"1/2 cup unsalted butter, softened",3 cups powdered sugar,1/4 cup eggnog,1/2 teaspoon rum extract,"Fresh nutmeg, for garnish",NA,NA,NA,NA
Brown Butter Snickerdoodle Cookies,By Kim - InsanelyGood,5.0, 8 ,Cuisine: American,Servings24servingsPrep time20minutesCooking time10minutesCalories192kcal,"Servings

24

servings
Prep time

20

minutes
Cooking time

10

minutes
Calories

192

kcal",10,13,1 cup unsalted butter,"1 cup light brown sugar, packed",3/4 cups granulated sugar,"1 large egg + 2 egg yolks, room temperature",2 teaspoons vanilla extract,2 1/2 cups all-purpose flour,1 tablespoon cornstarch,2 teaspoons cream of tartar,1 teaspoon baking soda,1/2 teaspoon salt,1/2 teaspoon ground cinnamon,1/4 cup granulated sugar,Insanely Good Recipes,https://insanelygoodrecipes.com/brown-butter-snickerdoodle-cookies/,1 tablespoon ground cinnamon,NA,NA,NA,NA,NA,NA,NA,NA
